17.101534  6.920437  4.401679
17.101534  7.320447  6.000000
17.101534  7.720458  6.000000
17.101534  8.120469  6.000000
17.101534  8.520480  6.000000
17.101534  8.920490  6.000000
17.716458  0.920276  6.000000
17.716458  1.320287  6.000000
17.716458  1.720298  6.000000
17.716458  2.120308  6.000000
17.716458  2.520319  6.000000
17.716458  2.920330  6.000000
17.716458  3.320340  6.000000
17.716458  3.720351  6.000000
17.716458  4.120362  6.000000
17.716458  4.520373  3.410211
17.716458  4.920383  2.821584
17.716458  5.320394  3.410211
17.716458  5.720405  3.048115
17.716458  6.120415  3.120673
17.716458  6.520426  3.724897
17.716458  6.920437  6.000000
17.716458  7.320447  6.000000
17.716458  7.720458  6.000000
17.716458  8.120469  6.000000
17.716458  8.520480  6.000000
17.716458  8.920490  6.000000
18.331382  0.920276  6.000000
18.331382  1.320287  6.000000
18.331382  1.720298  6.000000
18.331382  2.120308  6.000000
18.331382  2.520319  6.000000
18.331382  2.920330  6.000000
18.331382  3.320340  6.000000
18.331382  3.720351  6.000000
18.331382  4.120362  6.000000
18.331382  4.520373  3.048115
18.331382  4.920383  2.983210
18.331382  5.320394  3.297895
18.331382  5.720405  3.048115
18.331382  6.120415  3.724897
18.331382  6.520426  3.974677
18.331382  6.920437  6.000000
18.331382  7.320447  6.000000
18.331382  7.720458  6.000000
18.331382  8.120469  6.000000
18.331382  8.520480  6.000000
18.331382  8.920490  6.000000
18.946306  0.920276  6.000000
18.946306  1.320287  6.000000
18.946306  1.720298  6.000000
18.946306  2.120308  6.000000
18.946306  2.520319  6.000000
18.946306  2.920330  6.000000
18.946306  3.320340  6.000000
18.946306  3.720351  6.000000
18.946306  4.120362  6.000000
18.946306  4.520373  3.974677
18.946306  4.920383  3.297895
18.946306  5.320394  3.974677
18.946306  5.720405  3.724897
18.946306  6.120415  6.000000
18.946306  6.520426  6.000000
18.946306  6.920437  6.000000
18.946306  7.320447  6.000000
18.946306  7.720458  6.000000
18.946306  8.120469  6.000000
18.946306  8.520480  6.000000
18.946306  8.920490  6.000000
19.561230  0.920276  6.000000
19.561230  1.320287  6.000000
19.561230  1.720298  6.000000
19.561230  2.120308  6.000000
19.561230  2.520319  6.000000
19.561230  2.920330  6.000000
19.561230  3.320340  6.000000
19.561230  3.720351  6.000000
19.561230  4.120362  6.000000
19.561230  4.520373  3.974677
19.561230  4.920383  6.000000
19.561230  5.320394  6.000000
19.561230  5.720405  4.401679
19.561230  6.120415  6.000000
19.561230  6.520426  6.000000
19.561230  6.920437  6.000000
19.561230  7.320447  6.000000
19.561230  7.720458  6.000000
19.561230  8.120469  6.000000
19.561230  8.520480  6.000000
19.561230  8.920490  6.000000
20.176154  0.920276  6.000000
20.176154  1.320287  6.000000
20.176154  1.720298  6.000000
20.176154  2.120308  6.000000
20.176154  2.520319  6.000000
20.176154  2.920330  6.000000
20.176154  3.320340  6.000000
20.176154  3.720351  6.000000
20.176154  4.120362  6.000000
20.176154  4.520373  6.000000
20.176154  4.920383  4.401679
20.176154  5.320394  6.000000
20.176154  5.720405  6.000000
20.176154  6.120415  6.000000
20.176154  6.520426  6.000000
20.176154  6.920437  6.000000
20.176154  7.320447  6.000000
20.176154  7.720458  6.000000
20.176154  8.120469  6.000000
20.176154  8.520480  6.000000
20.176154  8.920490  6.000000
20.791079  0.920276  6.000000
20.791079  1.320287  6.000000
20.791079  1.720298  6.000000
20.791079  2.120308  6.000000
20.791079  2.520319  6.000000
20.791079  2.920330  6.000000
20.791079  3.320340  6.000000
20.791079  3.720351  6.000000
20.791079  4.120362  6.000000
20.791079  4.520373  6.000000
20.791079  4.920383  4.401679
20.791079  5.320394  6.000000
20.791079  5.720405  6.000000
20.791079  6.120415  6.000000
20.791079  6.520426  6.000000
20.791079  6.920437  6.000000
20.791079  7.320447  6.000000
20.791079  7.720458  6.000000
20.791079  8.120469  6.000000
20.791079  8.520480  6.000000
20.791079  8.920490  6.000000
